epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.391,1.32498,3.51517,1.20413,0.14121,0.24127,0.08575,0.05514,1.28585,3.36515,1.16614,0.000367779,0.000367779,0.000367779
2,649.45,1.42977,3.04207,1.25515,0.1637,0.19659,0.08674,0.05523,1.33562,3.23385,1.19858,0.000723498,0.000723498,0.000723498
3,943.392,1.47605,2.94597,1.2877,0.16826,0.24713,0.09237,0.05866,1.36819,3.34181,1.29657,0.00106455,0.00106455,0.00106455
4,1225.27,1.48867,2.82457,1.28674,0.14394,0.23172,0.07976,0.04719,1.38232,3.14376,1.27801,0.00104501,0.00104501,0.00104501
5,1500.02,1.48201,2.67083,1.26585,0.1642,0.22288,0.10517,0.07006,1.30501,2.8222,1.24095,0.00102301,0.00102301,0.00102301
6,1775.15,1.43449,2.6215,1.24727,0.15273,0.2766,0.11012,0.07268,1.28633,2.77999,1.20652,0.00100101,0.00100101,0.00100101
7,2049.33,1.38357,2.49804,1.23466,0.17085,0.27585,0.11306,0.07349,1.33592,2.64843,1.23522,0.000979013,0.000979013,0.000979013
8,2323.99,1.3806,2.43881,1.21938,0.16314,0.2727,0.11178,0.07317,1.24012,2.49402,1.19564,0.000957015,0.000957015,0.000957015
9,2596.97,1.33998,2.35728,1.2029,0.16631,0.25895,0.12021,0.08155,1.29553,2.48606,1.24443,0.000935018,0.000935018,0.000935018
10,2870.64,1.36157,2.37086,1.22828,0.15461,0.27259,0.12051,0.08149,1.23252,2.49052,1.20139,0.00091302,0.00091302,0.00091302
